Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended
,Solo Leisure,Business Class,Washington to London,December 2021,5.0,5.0,5.0,,4.0,,5,yes
,Couple Leisure,Economy Class,Montréal to Dubai via London,February 2022,,,,,,,4,yes
Boeing 787-9,Couple Leisure,Business Class,Atlanta to Belfast via Heathrow,January 2022,4.0,5.0,4.0,4.0,5.0,,5,yes
Boeing 777,Couple Leisure,Business Class,Cape Town to London Heathrow,January 2022,3.0,4.0,2.0,4.0,3.0,,3,yes
Boeing 777,Couple Leisure,Business Class,London Heathrow to Orlando,January 2022,2.0,4.0,3.0,1.0,3.0,,3,no
A380,Couple Leisure,Economy Class,London Heathrow to Dubai,January 2022,2.0,1.0,1.0,2.0,1.0,,1,no
,Solo Leisure,Economy Class,New York to Newcastle via London,November 2021,3.0,4.0,4.0,4.0,1.0,,4,no
Boeing 737-800,Couple Leisure,Business Class,Cape Town to Durban,January 2022,3.0,2.0,3.0,,4.0,,3,yes
,Solo Leisure,Economy Class,Durban to Cape Town,January 2022,5.0,5.0,5.0,,5.0,,5,yes
,Solo Leisure,Business Class,Bangalore to Detroit via London,January 2022,4.0,2.0,1.0,3.0,1.0,,1,no
,Business,Economy Class,New York to London,January 2022,1.0,1.0,2.0,3.0,1.0,,2,no
,Business,Economy Class,Las Vegas to London ,January 2022,1.0,4.0,1.0,1.0,1.0,,1,no
,Couple Leisure,Business Class,London to Dubai,October 2021,2.0,1.0,1.0,3.0,1.0,,1,no
,Family Leisure,Economy Class,Warsaw to London,December 2021,2.0,4.0,,,1.0,,2,no
A319,Business,Business Class,Glasgow to London Heathrow,December 2021,2.0,1.0,1.0,,2.0,,1,no
Boeing 777,Couple Leisure,Business Class,London to Cape Town,December 2021,3.0,3.0,2.0,5.0,4.0,1.0,3,yes
,Solo Leisure,Premium Economy,London to Tampa,November 2021,1.0,1.0,,,1.0,,1,no
A320-200,Solo Leisure,Business Class,Edinburgh to London,December 2021,4.0,5.0,4.0,,5.0,5.0,4,yes
A320-200,Solo Leisure,Business Class,London to Edinburgh,December 2021,4.0,5.0,5.0,,3.0,,4,yes
A380,Family Leisure,Economy Class,London Heathrow to Los Angeles,December 2021,1.0,4.0,1.0,1.0,2.0,,1,no
Boeing 777,Business,Economy Class,London to St Lucia,December 2021,5.0,5.0,4.0,,5.0,,5,yes
Boeing 787,Couple Leisure,First Class,London to Chicago,November 2021,4.0,5.0,5.0,3.0,4.0,5.0,4,yes
A320,Solo Leisure,Business Class,London to Istanbul,December 2021,1.0,2.0,3.0,1.0,1.0,1.0,2,no
Boeing 777,Couple Leisure,Business Class,Dubai to London Heaathrow,December 2021,4.0,2.0,3.0,4.0,1.0,3.0,4,yes
A320,Solo Leisure,Economy Class,London to Aberdeen,December 2021,,,,,1.0,,1,no
Boeing 777,Couple Leisure,Business Class,London Gatwick to Cancun,December 2021,1.0,5.0,3.0,2.0,5.0,,3,no
,Business,Business Class,Kingston to London,August 2021,1.0,2.0,2.0,3.0,2.0,1.0,1,no
,Family Leisure,Business Class,London to Delhi,January 2021,1.0,1.0,1.0,1.0,1.0,1.0,1,no
,Solo Leisure,Economy Class,Washington DC to Moscow via London,December 2021,1.0,1.0,,,1.0,,1,no
,Solo Leisure,Economy Class,Singapore to London,July 2021,3.0,4.0,1.0,3.0,1.0,,1,no
,Family Leisure,Economy Class,Cairo to Portland via London / Seattle,November 2021,,,,,1.0,,1,no
A320,Business,Business Class,London Heathrow to Paris CDG,November 2021,3.0,4.0,4.0,,1.0,,3,no
,Business,Business Class,Manchester to London Heathrow,November 2021,1.0,,,,1.0,,2,no
A321 neo,Solo Leisure,Business Class,London to Tenerife,November 2021,3.0,2.0,3.0,,4.0,,2,no
A321 neo,Solo Leisure,Business Class,Tenerife to London,November 2021,4.0,5.0,5.0,,4.0,,4,yes
A320,Solo Leisure,Economy Class,Stockholm to London Heathrow,November 2021,1.0,5.0,1.0,,1.0,,2,no
,Business,Economy Class,Frankfurt to London,November 2021,,,,,1.0,,1,no
A320neo,Couple Leisure,Business Class,London Heathrow to Tenerife South,November 2021,3.0,3.0,1.0,,2.0,,1,no
A320 Neo,Couple Leisure,Business Class,Heathrow to Tenerife South,November 2021,2.0,5.0,3.0,,3.0,,3,yes
,Solo Leisure,Economy Class,London to Chicago,November 2021,1.0,2.0,2.0,2.0,1.0,2.0,1,no
,Solo Leisure,Economy Class,London to Mexico,October 2021,2.0,3.0,2.0,5.0,2.0,,2,no
Boeing 777,Couple Leisure,Economy Class,Manchester to Nassau via London,October 2021,2.0,2.0,2.0,2.0,1.0,1.0,1,no
,Family Leisure,Economy Class,Mumbai to Dublin via London,November 2021,3.0,2.0,2.0,3.0,2.0,,3,no
,Solo Leisure,Premium Economy,Gibraltar to London,November 2021,4.0,4.0,,,1.0,,3,no
A321,Business,Economy Class,Belfast to London,November 2021,4.0,5.0,4.0,,4.0,,4,yes
A321,Family Leisure,Business Class,Larnaca to London Heathrow,October 2021,2.0,4.0,2.0,,3.0,3.0,3,yes
A320,Couple Leisure,Business Class,Lisbon to London Heathrow,September 2021,4.0,4.0,4.0,,5.0,,4,yes
Boeing 787,Couple Leisure,Premium Economy,Madrid to London,October 2021,4.0,5.0,5.0,4.0,3.0,,5,yes
A320NEO,Family Leisure,Economy Class,London to Bologna,October 2021,5.0,5.0,3.0,,2.0,,4,yes
A321 Neo,Business,Economy Class,London to Alicante,October 2021,1.0,4.0,4.0,,4.0,,5,yes
A321,Family Leisure,Business Class,London to Larnaca,October 2021,3.0,5.0,3.0,2.0,4.0,2.0,4,yes
A320,Business,Economy Class,Prague to London,October 2021,4.0,5.0,,,1.0,,1,no
,Couple Leisure,Economy Class,Male to London,October 2021,5.0,5.0,5.0,5.0,5.0,5.0,5,yes
,Solo Leisure,Premium Economy,London to Toronto,October 2021,3.0,3.0,4.0,4.0,4.0,,4,yes
A350,Business,Business Class,London to Toronto,October 2021,5.0,5.0,5.0,5.0,5.0,5.0,5,yes
,Solo Leisure,Business Class,London Heathrow to Athens Greece,September 2021,2.0,4.0,4.0,3.0,4.0,4.0,1,no
,Solo Leisure,Economy Class,London to Cayman Islands ,November 2020,,,,,,,1,no
A320,Family Leisure,Economy Class,London to Prague,October 2021,1.0,1.0,1.0,,1.0,,2,no
A321,Couple Leisure,Business Class,Larnaca to London Heathrow,October 2021,3.0,4.0,3.0,,4.0,3.0,4,yes
